strategy,composite_score,adx_period,adx_threshold,sar_af,stoch_k,stoch_oversold,stoch_overbought,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
adx_sar_stoch,2.0999999999999996,14,25,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,14,20,75,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,14,20,80,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,14,20,85,1,100.0,inf,1.0144044577562308,1014.4044577562308,1014.4044577562308,0.0,1014.4044577562308,1014.4044577562308,0.0,6.252925648819711,6.252925648819711,0.0,0.0,inf,101014.40445775623,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,16,25,75,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,16,25,80,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,20,0.02,16,25,85,1,100.0,inf,1.9657246187424025,1965.7246187424025,1965.7246187424025,0.0,1965.7246187424025,1965.7246187424025,0.0,6.252925648819716,6.252925648819716,0.0,0.0,inf,101965.7246187424,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,25,0.02,12,25,75,1,100.0,inf,5.301770981074908,5301.7709810749075,5301.7709810749075,0.0,5301.7709810749075,5301.7709810749075,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,105301.77098107491,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,25,0.02,12,25,80,1,100.0,inf,16.686006527026752,16686.00652702675,16686.00652702675,0.0,16686.00652702675,16686.00652702675,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,116686.00652702675,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,25,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,30,0.02,12,25,75,1,100.0,inf,5.301770981074908,5301.7709810749075,5301.7709810749075,0.0,5301.7709810749075,5301.7709810749075,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,105301.77098107491,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,30,0.02,12,25,80,1,100.0,inf,16.686006527026752,16686.00652702675,16686.00652702675,0.0,16686.00652702675,16686.00652702675,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,116686.00652702675,1,0,green,red,red,green,green,green,red
adx_sar_stoch,2.0999999999999996,16,30,0.02,12,25,85,1,100.0,inf,14.738717718272861,14738.717718272863,14738.717718272863,0.0,14738.717718272863,14738.717718272863,0.0,14.0930526707611,14.0930526707611,0.0,0.0,inf,114738.71771827286,1,0,green,red,red,green,green,green,red
adx_sar_stoch,1.2000000000000002,12,20,0.02,12,20,75,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,12,20,0.02,12,20,80,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,12,20,0.02,12,20,85,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,14,20,0.02,12,20,75,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,14,20,0.02,12,20,80,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,14,20,0.02,12,20,85,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,16,20,0.02,12,20,75,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,16,20,0.02,12,20,80,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
adx_sar_stoch,1.2000000000000002,16,20,0.02,12,20,85,1,0.0,0.0,-0.594349845743709,-594.349845743709,0.0,594.349845743709,-594.349845743709,0.0,-594.349845743709,6.252925648819711,6.252925648819711,0.0,0.0,0.0,99405.65015425629,0,1,red,red,red,red,green,red,red
