strategy,composite_score,atr_period,atr_multiplier,rsi_period,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
supertrend_rsi,1.2000000000000002,8,2.5,12,2,0.0,0.0,-24.798804173312966,-24798.804173312965,0.0,24798.804173312965,-12399.402086656482,0,-12399.402086656482,24.989372927948587,24.989372927948587,-37.97636644618266,-37.97636644618266,0.0,75201.19582668704,0,2,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,8,2.5,14,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,8,2.5,16,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,8,3.0,14,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,8,3.0,16,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,10,2.5,12,2,0.0,0.0,-24.49429476783976,-24494.29476783976,0.0,24494.29476783976,-12247.14738391988,0,-12247.14738391988,24.684863522475382,24.684863522475382,-39.19004718341431,-39.19004718341431,0.0,75505.70523216024,0,2,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,10,2.5,14,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,10,2.5,16,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,10,3.0,14,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,10,3.0,16,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,12,2.5,12,2,0.0,0.0,-24.49429476783976,-24494.29476783976,0.0,24494.29476783976,-12247.14738391988,0,-12247.14738391988,24.684863522475382,24.684863522475382,-39.19004718341431,-39.19004718341431,0.0,75505.70523216024,0,2,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,12,2.5,14,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,12,2.5,16,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,12,3.0,14,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.2000000000000002,12,3.0,16,1,0.0,0.0,-9.331245364385744,-9331.245364385744,0.0,9331.245364385744,-9331.245364385744,0,-9331.245364385744,9.431245364385745,9.431245364385745,0.0,0.0,0.0,90668.75463561426,0,1,red,red,red,red,green,red,red
supertrend_rsi,1.1,8,3.0,12,2,0.0,0.0,-26.66176457424005,-26661.76457424005,0.0,26661.76457424005,-13330.882287120025,0,-13330.882287120025,26.852333328875673,26.852333328875673,-32.363689823381286,-32.363689823381286,0.0,73338.23542575995,0,2,red,red,red,red,yellow,red,red
supertrend_rsi,1.1,10,3.0,12,2,0.0,0.0,-26.66176457424005,-26661.76457424005,0.0,26661.76457424005,-13330.882287120025,0,-13330.882287120025,26.852333328875673,26.852333328875673,-32.363689823381286,-32.363689823381286,0.0,73338.23542575995,0,2,red,red,red,red,yellow,red,red
supertrend_rsi,1.1,12,3.0,12,2,0.0,0.0,-26.66176457424005,-26661.76457424005,0.0,26661.76457424005,-13330.882287120025,0,-13330.882287120025,26.852333328875673,26.852333328875673,-32.363689823381286,-32.363689823381286,0.0,73338.23542575995,0,2,red,red,red,red,yellow,red,red
